AL;2005;6.38427205149074
AP;2005;1.84162062615101
RS;2006;3.89866068076384
GO;2006;3.91554176414734
CE;2006;2.028567298988
MA;2006;3.15106832974096
MG;2006;3.24701978721605
MS;2006;10.3082330674598
MT;2006;3.74402571328441
PA;2006;6.57841274509425
PB;2006;4.67022228757616
BA;2006;3.89357848786761
AP;2006;2.10482665024692
AM;2006;6.0720938254155
PE;2006;4.6522171621137
PI;2006;3.34853771562757
PR;2006;3.88321815761111
RJ;2006;4.89473579722239
AL;2006;6.85514936707069
AC;2006;4.94297571374804
RN;2006;3.290811100012
RO;2006;3.00111922174454
RR;2006;3.28131944838037
ES;2006;6.35964268592171
SC;2006;6.69278114100553
SE;2006;2.64020593606301
SP;2006;4.46614660870601
TO;2006;2.91143103305121
DF;2006;4.17381030353233
RR;2007;4.09906863304845
AP;2007;1.93167867169189
SE;2007;2.64375246671547
GO;2007;3.17561130517625
DF;2007;3.70830474848423
RS;2007;4.02846716824248
MA;2007;2.93172091785202
TO;2007;3.46734097166392
PE;2007;5.56458069638651
PB;2007;4.50644599417154
PA;2007;3.48731923543017
MS;2007;10.1652564650485
PI;2007;3.39906311445915
SC;2007;6.72770983202328
CE;2007;2.20940765780694
ES;2007;8.92920083652513
SP;2007;5.18363009615634
AL;2007;6.40804957090374
RJ;2007;4.6986333737506
AC;2007;6.63999021475126
AM;2007;5.02533202223709
RO;2007;2.27629692017027
PR;2007;4.29296437776213
BA;2007;3.9616130698017
MG;2007;3.05361621564168
MT;2007;2.79052442958749
RN;2007;3.58498359480333
MG;2008;3.59595403799953
MS;2008;10.2879210060937
AL;2008;6.52736939128119
ES;2008;7.13253195374315
BA;2008;4.56950899138769
TO;2008;3.90387901183731
SP;2008;3.69654231119199
AP;2008;2.49561265133888
AM;2008;4.43547888426658
SE;2008;3.64092348630149
MT;2008;3.09139813602133
PB;2008;5.62842464808551
GO;2008;2.76683851808129
MA;2008;2.70530051611122
PE;2008;4.83815172927638
PA;2008;4.8353980896458
SC;2008;5.06844848074783
PI;2008;4.26788093072863
RS;2008;3.69734712891679
RR;2008;3.07847923125976
PR;2008;4.83373463401076
RO;2008;2.73129113213288
RN;2008;4.46666711162201
RJ;2008;5.29381325279679
DF;2008;4.04504311082485
CE;2008;2.40768584008277
AC;2008;5.92000693879883
PB;2009;6.02591909830404
RO;2009;2.94084443976439
MT;2009;3.05381262027857
SC;2009;6.72785173027012
PR;2009;5.64980991363225
PA;2009;6.18424690423876
AC;2009;6.25676845896458
SE;2009;3.48860907931934
DF;2009;3.61125990839437
AP;2009;2.61117764111614
RN;2009;5.02504832763315
AL;2009;6.53511592951706
ES;2009;10.5749699274293
AM;2009;4.1278545145932
MG;2009;3.75976135055117
RJ;2009;5.31070693233934
SP;2009;4.44972230951712
CE;2009;1.91790144461286
RS;2009;3.90759034844625
MA;2009;3.12653707246022
TO;2009;3.99464681818392
PI;2009;4.63258249689483
PE;2009;5.2377495082559
MS;2009;11.6246215943491
GO;2009;3.31326354618597
RR;2009;4.50124074523123
BA;2009;4.76601134893214
RN;2010;5.97881640034557
MT;2010;3.09902877900734
PB;2010;6.13093593181021
PE;2010;5.99924299025952
PI;2010;5.78589341063357
PR;2010;4.79795345476275
RJ;2010;5.74093011900128
MS;2010;9.17746205198558
AL;2010;5.26557525716846
RR;2010;4.83009775975804
MG;2010;3.58157110851279
AC;2010;5.27960629975823
BA;2010;6.04173188990866
RO;2010;3.42396037668544
DF;2010;4.67500668379862
MA;2010;3.88811925603423
RS;2010;3.947567043973
SC;2010;8.21249378068445
CE;2010;2.47515179641876
GO;2010;3.90593420408415
TO;2010;3.99593048806066
SE;2010;4.23611508868396
SP;2010;5.15124321188148
ES;2010;4.77902442733168
AM;2010;3.96531321792712
AP;2010;3.47411052749024
PA;2010;4.44522135700594
RJ;2011;8.10266259059442
SE;2011;4.42313321953465
BA;2011;4.80611337621455
MA;2011;4.21397635491045
MT;2011;2.61930056004259
CE;2011;1.98047376645882
AP;2011;3.84874491253213
RR;2011;6.81369413466085
PB;2011;5.11466334219574
MS;2011;8.63596709644824
AL;2011;5.51808822979095
RN;2011;6.89488404528757
RS;2011;4.37993113636499
DF;2011;5.39470807531013
PI;2011;5.83645802650766
PE;2011;6.03405994761198
SP;2011;4.760481654955
TO;2011;3.52590782962744
AC;2011;5.69313604108481
PR;2011;5.61879665290417
AM;2011;4.24628942755146
ES;2011;4.28460028963898
SC;2011;8.18252000270379
MG;2011;4.38391395838204
RO;2011;2.26788572675471
GO;2011;5.38002718707072
PA;2011;5.71406123330869
ES;2012;7.11860006448614
CE;2012;2.77929833592533
SE;2012;3.77351148238271
AM;2012;4.26293303808142
PR;2012;5.3744640368088
MT;2012;2.84105739894803
PI;2012;5.69451593356832
SP;2012;4.22227089562283
RO;2012;3.10227823557925
MA;2012;4.84402247626429
MG;2012;6.34626285790502
BA;2012;5.93768299324742
MS;2012;8.46169060425296
AL;2012;4.52775703720349
RR;2012;6.63994427867169
PA;2012;6.05103514227645
RS;2012;4.41905515797402
RJ;2012;7.6382925231012
DF;2012;4.61696817279411
SC;2012;7.83593323313551
PE;2012;5.97264991739127
RN;2012;6.71283660955692
TO;2012;4.32089144013912
GO;2012;5.45844319917595
AC;2012;6.42236833823788
PB;2012;5.74440716644321
AP;2012;3.36625968390231
RO;2013;2.99878461023738
AC;2013;5.70112569040006
PR;2013;5.24117466819333
SC;2013;8.17928532630453
MT;2013;2.74952627214483
SP;2013;8.16789099949461
TO;2013;3.63889353377283
AL;2013;5.28481106077925
PE;2013;5.71736111005234
AP;2013;3.81728214756214
SE;2013;5.18684894846836
PB;2013;5.01929858228759
CE;2013;2.87168106987839
RN;2013;6.13014889937069
DF;2013;5.13989996131549
PI;2013;5.45258238426604
RJ;2013;8.391820607029
ES;2013;14.7794171983151
PA;2013;6.08404167568548
MA;2013;6.12800746294319
RS;2013;4.03803698444694
GO;2013;5.0335133113956
BA;2013;5.80198648966003
RR;2013;5.29795009066117
AM;2013;4.43754567260751
MS;2013;8.70840146851149
MG;2013;5.04209625151657
MG;2014;4.09423286358835
RJ;2014;8.73573965808918
MA;2014;6.26021540852079
PR;2014;4.08629993032859
RN;2014;5.715111928269
RO;2014;3.21317971053593
PA;2014;6.41060130295472
PI;2014;4.90608229322265
RR;2014;4.65238694035108
CE;2014;3.81632685203919
RS;2014;3.78681064189635
BA;2014;6.19475411304307
SC;2014;7.27445409586683
PE;2014;6.38889744917632
AP;2014;4.24838400695841
MS;2014;6.99172180138716
GO;2014;6.5120380303021
PB;2014;4.9980896386258
ES;2014;9.52902780093861
SE;2014;5.74364426345083
DF;2014;5.29632964355702
SP;2014;5.05111730714834
TO;2014;4.28321142171437
AM;2014;5.30251353997975
AC;2014;6.96299762693513
MT;2014;2.67243773482082
AL;2014;4.91931095067434
GO;2015;6.01216518681515
BA;2015;6.41911193430961
AL;2015;4.77028420042974
TO;2015;4.8804579931763
MT;2015;2.40760762662907
SC;2015;5.44464089727682
PE;2015;4.30937444971889
MS;2015;6.87890780507224
RS;2015;3.91075782570911
RR;2015;6.39606002702335
RJ;2015;7.49999558823789
PI;2015;4.85069756078483
RO;2015;2.80439706330478
AP;2015;4.23552010183564
AC;2015;7.27140519905472
MA;2015;5.58685145507786
CE;2015;4.09892730460658
RN;2015;5.32754822391061
AM;2015;4.41502161478218
PR;2015;3.77054050698168
MG;2015;5.87618820357773
PA;2015;7.16817331050137
DF;2015;4.65083831360603
SP;2015;4.73408165045036
SE;2015;5.11097481844929
ES;2015;11.4377216058561
PB;2015;4.28207802928941
